url,title,status,depth
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/missed-delivery.html,ご利用ガイド・ヘルプ │ 受取れなかった場合について │マルイウェブチャネル,200,69
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/carriers.html,ご利用ガイド・ヘルプ │ お届け配送業者について │マルイウェブチャネル,200,70
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/combined.html,ご利用ガイド・ヘルプ │ まとめてお届けについて │マルイウェブチャネル,200,71
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/shop-direct.html,ご利用ガイド・ヘルプ │ ショップ発送について │マルイウェブチャネル,200,72
https://voi.0101.co.jp/voi/content/01/sp/guide/shipping/marui-pickup.html,ご利用ガイド・ヘルプ │ マルイ店舗での受取りについて │マルイウェブチャネル,200,73
https://voi.0101.co.jp/voi/content/01/sp/guide/return/return-policy.html,ご利用ガイド・ヘルプ │ 返品について │マルイウェブチャネル,200,74
https://voi.0101.co.jp/voi/content/01/sp/guide/return.html,ご利用ガイド・ヘルプ │ 返品・再注文について │マルイウェブチャネル,200,75
https://voi.0101.co.jp/voi/content/01/sp/guide/return/return-conditions.html,ご利用ガイド・ヘルプ │ 商品返品の条件 │マルイウェブチャネル,200,76
https://voi.0101.co.jp/voi/content/01/sp/guide/return/refund.html,ご利用ガイド・ヘルプ │ 返金について │マルイウェブチャネル,200,77
https://voi.0101.co.jp/voi/content/01/sp/guide/return/reorder.html,ご利用ガイド・ヘルプ │ 再注文（交換）について │マルイウェブチャネル,200,78
https://voi.0101.co.jp/voi/content/01/sp/guide/account/sign-up.html,ご利用ガイド・ヘルプ │ 会員登録方法について │マルイウェブチャネル,200,79
https://voi.0101.co.jp/voi/content/01/sp/guide/account.html,ご利用ガイド・ヘルプ │ 会員登録について │マルイウェブチャネル,200,80
https://voi.0101.co.jp/voi/content/01/sp/guide/account/domain-settings.html,ご利用ガイド・ヘルプ │ ドメイン受信設定について │マルイウェブチャネル,200,81
https://voi.0101.co.jp/voi/content/01/sp/guide/account/edit-profile.html,ご利用ガイド・ヘルプ │ 登録情報の変更 │マルイウェブチャネル,200,82
https://voi.0101.co.jp/voi/content/01/sp/guide/account/account-cancel.html,ご利用ガイド・ヘルプ │ 退会について │マルイウェブチャネル,200,83
https://voi.0101.co.jp/voi/content/01/sp/guide/account/forgot-id-password.html,ご利用ガイド・ヘルプ │ 会員ID・パスワードをお忘れの場合 │マルイウェブチャネル,200,84
https://voi.0101.co.jp/voi/content/01/sp/guide/account/postcode-error.html,ご利用ガイド・ヘルプ │ 郵便番号に関するエラーが表示される │マルイウェブチャネル,200,85
https://voi.0101.co.jp/voi/content/01/sp/guide/site/wishlist.html,ご利用ガイド・ヘルプ │ お気に入り登録 │マルイウェブチャネル,200,86
